t     A     B     C     waiting
0     None  None  None  0
1     None  None  None  0
2     None  None  None  0
3     None  None  None  0
4     None  None  None  0
5     None  None  None  0
6     None  None  None  0
7     None  None  None  0
8     None  None  None  0
9     69    None  None  0
10    68    None  None  0
11    67    None  None  0
12    66    None  None  0
13    65    None  None  0
14    64    None  None  0
15    63    None  None  0
16    62    None  None  0
17    61    None  None  0
18    60    None  None  0
19    59    None  None  0
20    58    96    None  0
21    57    95    None  0
22    56    94    None  0
23    55    93    None  0
24    54    92    None  0
25    53    91    None  0
26    52    90    None  0
27    51    89    None  0
28    50    88    101   0
29    49    87    100   0
30    48    86    99    0
31    47    85    98    0
32    46    84    97    1
33    45    83    96    1
34    44    82    95    1
35    43    81    94    1
36    42    80    93    1
37    41    79    92    1
38    40    78    91    1
39    39    77    90    1
40    38    76    89    1
41    37    75    88    1
42    36    74    87    1
43    35    73    86    2
44    34    72    85    2
45    33    71    84    2
46    32    70    83    2
47    31    69    82    2
48    30    68    81    2
49    29    67    80    2
50    28    66    79    2
51    27    65    78    3
52    26    64    77    3
53    25    63    76    3
54    24    62    75    3
55    23    61    74    3
56    22    60    73    3
57    21    59    72    3
58    20    58    71    3
59    19    57    70    3
60    18    56    69    3
61    17    55    68    3
62    16    54    67    3
63    15    53    66    4
64    14    52    65    4
65    13    51    64    5
66    12    50    63    5
67    11    49    62    5
68    10    48    61    5
69    9     47    60    5
70    8     46    59    5
71    7     45    58    5
72    6     44    57    5
73    5     43    56    5
74    4     42    55    5
75    3     41    54    5
76    2     40    53    6
77    1     39    52    6
78    119   38    51    5
79    118   37    50    5
80    117   36    49    5
81    116   35    48    6
82    115   34    47    6
83    114   33    46    6
84    113   32    45    6
85    112   31    44    6
86    111   30    43    6
87    110   29    42    6
88    109   28    41    6
89    108   27    40    7
90    107   26    39    7
91    106   25    38    7
92    105   24    37    7
93    104   23    36    7
94    103   22    35    7
95    102   21    34    8
96    101   20    33    8
97    100   19    32    8
98    99    18    31    8
99    98    17    30    8
100   97    16    29    8
101   96    15    28    8
102   95    14    27    8
103   94    13    26    8
104   93    12    25    8
105   92    11    24    8
106   91    10    23    8
107   90    9     22    8
108   89    8     21    9
109   88    7     20    9
110   87    6     19    9
111   86    5     18    9
112   85    4     17    9
113   84    3     16    9
114   83    2     15    9
115   82    1     14    9
116   81    115   13    8
117   80    114   12    8
118   79    113   11    8
119   78    112   10    9
120   77    111   9     9
121   76    110   8     9
122   75    109   7     9
123   74    108   6     9
124   73    107   5     9
125   72    106   4     9
126   71    105   3     9
127   70    104   2     9
128   69    103   1     9
129   68    102   93    9
130   67    101   92    9
131   66    100   91    9
132   65    99    90    9
133   64    98    89    9
134   63    97    88    9
135   62    96    87    10
136   61    95    86    10
137   60    94    85    10
138   59    93    84    10
139   58    92    83    10
140   57    91    82    10
141   56    90    81    10
142   55    89    80    10
143   54    88    79    10
144   53    87    78    10
145   52    86    77    10
146   51    85    76    11
147   50    84    75    11
148   49    83    74    11
149   48    82    73    11
150   47    81    72    11
151   46    80    71    11
152   45    79    70    11
153   44    78    69    11
154   43    77    68    12
155   42    76    67    12
156   41    75    66    12
157   40    74    65    12
158   39    73    64    12
159   38    72    63    12
160   37    71    62    12
161   36    70    61    12
162   35    69    60    12
163   34    68    59    12
164   33    67    58    13
165   32    66    57    13
166   31    65    56    13
167   30    64    55    13
168   29    63    54    13
169   28    62    53    13
170   27    61    52    13
171   26    60    51    13
172   25    59    50    13
173   24    58    49    14
174   23    57    48    14
175   22    56    47    14
176   21    55    46    14
177   20    54    45    14
178   19    53    44    14
179   18    52    43    14
180   17    51    42    14
181   16    50    41    14
182   15    49    40    14
183   14    48    39    14
184   13    47    38    14
185   12    46    37    15
186   11    45    36    15
187   10    44    35    15
188   9     43    34    15
189   8     42    33    15
190   7     41    32    15
191   6     40    31    15
192   5     39    30    15
193   4     38    29    16
194   3     37    28    16
195   2     36    27    16
196   1     35    26    16
197   113   34    25    15
198   112   33    24    15
199   111   32    23    15
200   110   31    22    15
201   109   30    21    15
202   108   29    20    15
203   107   28    19    15
204   106   27    18    15
205   105   26    17    16
206   104   25    16    16
207   103   24    15    16
208   102   23    14    16
209   101   22    13    16
210   100   21    12    16
211   99    20    11    16
212   98    19    10    16
213   97    18    9     16
214   96    17    8     16
215   95    16    7     16
216   94    15    6     16
217   93    14    5     16
218   92    13    4     17
219   91    12    3     17
220   90    11    2     17
221   89    10    1     17
222   88    9     68    16
223   87    8     67    16
224   86    7     66    17
225   85    6     65    17
226   84    5     64    17
227   83    4     63    17
228   82    3     62    17
229   81    2     61    17
230   80    1     60    17
231   79    91    59    16
232   78    90    58    16
233   77    89    57    16
234   76    88    56    16
235   75    87    55    16
236   74    86    54    17
237   73    85    53    17
238   72    84    52    17
239   71    83    51    17
240   70    82    50    17
241   69    81    49    17
242   68    80    48    17
243   67    79    47    17
244   66    78    46    18
245   65    77    45    18
246   64    76    44    18
247   63    75    43    18
248   62    74    42    18
249   61    73    41    18
250   60    72    40    18
